Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3/9/2019,135.07,135.66,134.17,134.51,18869300,0,0
4/9/2019,135.75,136.14,134.94,136.08,17995900,0,0
5/9/2019,137.54,138.8,137.2,138.47,26101800,0,0
6/9/2019,138.45,138.6,136.64,137.53,20824500,0,0
9/9/2019,138.02,138.18,134.92,135.97,25773900,0,0
10/9/2019,135.26,135.35,133,134.55,28903400,0,0
11/9/2019,134.38,134.74,133.57,134.59,24726100,0,0
12/9/2019,136.3,136.86,135.33,135.97,27010000,0,0
13/9/2019,136.23,136.51,135.03,135.77,23363100,0,0
16/9/2019,134.3,135.16,134.13,134.8,16731400,0,0
17/9/2019,135.42,135.97,134.89,135.84,17814200,0,0
18/9/2019,135.81,137.11,134.99,136.96,23982100,0,0
19/9/2019,138.72,140.77,138.49,139.48,35772100,0,0
20/9/2019,139.42,140.06,136.69,137.87,39167300,0,0
23/9/2019,137.66,138.06,136.88,137.57,17139300,0,0
24/9/2019,138.78,139.11,135.34,135.83,29773200,0,0
25/9/2019,135.95,138.38,134.5,137.79,21382000,0,0
26/9/2019,137.87,138.6,136.88,137.97,17456600,0,0
27/9/2019,138.57,138.78,135.11,136.18,22477700,0,0
30/9/2019,136.5,137.65,136.23,137.47,17280900,0,0
1/10/2019,138.09,138.67,135.46,135.53,21466600,0,0
2/10/2019,134.72,134.83,132.08,133.13,30521700,0,0
3/10/2019,133.43,135.21,131.72,134.75,24132900,0,0
4/10/2019,135.21,136.69,134.88,136.57,22897700,0,0
7/10/2019,135.6,136.62,135.48,135.58,15303700,0,0
8/10/2019,135.54,136.21,134.09,134.14,25550500,0,0
9/10/2019,135.91,137.14,135.43,136.68,19749900,0,0
10/10/2019,136.93,138.1,136.69,137.53,17654600,0,0
11/10/2019,138.54,139.44,137.93,138.11,25446000,0,0
14/10/2019,138.12,138.71,137.95,137.98,13304300,0,0
15/10/2019,138.48,140.19,138.24,139.98,19695700,0,0
16/10/2019,139.21,139.4,137.96,138.83,20751600,0,0
17/10/2019,139.36,139.83,137.46,138.12,21460600,0,0
18/10/2019,138.19,138.42,135.02,135.86,32273500,0,0
21/10/2019,136.89,136.94,135.47,136.87,20078200,0,0
22/10/2019,137.41,138.43,134.73,134.83,27431000,0,0
23/10/2019,135.34,135.9,134.08,135.7,29844600,0,0
24/10/2019,137.82,138.84,137.11,138.36,37029300,0,0
25/10/2019,137.77,139.55,137.63,139.15,25959700,0,0
28/10/2019,142.77,144.03,141.89,142.57,35280100,0,0
29/10/2019,142.46,142.87,141.04,141.22,20589500,0,0
30/10/2019,141.9,143.37,141.18,142.98,18496600,0,0
31/10/2019,143.27,143.3,141.38,141.76,24605100,0,0
1/11/2019,142.64,142.79,141.36,142.1,33128400,0,0
4/11/2019,143.2,143.37,142.54,142.92,16912000,0,0
5/11/2019,143.34,143.39,142.29,142.83,18250200,0,0
6/11/2019,142.74,142.89,141.59,142.44,16575800,0,0
7/11/2019,142.22,143.25,142.15,142.64,17786700,0,0
8/11/2019,142.36,144.35,142.14,144.32,16732700,0,0
11/11/2019,143.7,144.77,143.1,144.47,14362600,0,0
12/11/2019,144.63,145.91,144.42,145.41,18641600,0,0
13/11/2019,145.09,145.8,144.63,145.65,16919200,0,0
14/11/2019,145.37,146.74,145.35,146.39,19729800,0,0
15/11/2019,147.25,148.3,146.6,148.28,23485700,0,0
18/11/2019,148.38,148.86,147.3,148.65,21534000,0,0
19/11/2019,149.18,149.63,148.51,148.7,23935700,0,0
20/11/2019,149.12,149.65,147.29,148.44,25696800,0.51,0
21/11/2019,148.22,148.62,147.33,148.3,18576100,0,0
22/11/2019,148.89,149.11,147.65,148.41,15901800,0,0
25/11/2019,148.82,150.16,148.74,150.04,22420900,0,0
26/11/2019,150.17,151.22,150.13,150.83,24620100,0,0
27/11/2019,151.13,151.3,150.32,151.12,15184400,0,0
29/11/2019,150.9,151.1,150.09,150.19,11977300,0,0
2/12/2019,150.61,150.63,147.15,148.37,27418400,0,0
3/12/2019,146.33,148.25,145.49,148.13,24066000,0,0
4/12/2019,148.96,148.99,148.02,148.67,17574700,0,0
5/12/2019,148.87,149.13,148.3,148.75,17869100,0,0
6/12/2019,149.8,150.67,149.08,150.55,16403500,0,0
9/12/2019,149.88,151.01,149.72,150.17,16687400,0,0
10/12/2019,150.1,150.69,149.57,149.94,16476100,0,0
11/12/2019,150.34,150.67,149.14,150.5,18856600,0,0
12/12/2019,150.45,152.23,149.83,152.03,24612100,0,0
13/12/2019,151.79,153.67,151.62,153.31,23845400,0,0
16/12/2019,153.89,154.67,153.6,154.3,24144200,0,0
17/12/2019,154.22,154.48,153.23,153.47,25425600,0,0
18/12/2019,153.08,154.25,152.96,153.15,24129200,0,0
19/12/2019,152.78,154.54,152.54,154.48,24958900,0,0
20/12/2019,156.11,157.24,155.06,156.17,53477500,0,0
23/12/2019,156.87,156.87,156.03,156.17,17718200,0,0
24/12/2019,156.24,156.47,155.88,156.14,8989200,0,0
26/12/2019,156.32,157.48,156.16,157.42,14520600,0,0
27/12/2019,158.19,158.29,156.97,157.71,18412800,0,0
30/12/2019,157.74,157.77,155.49,156.35,16348400,0,0
31/12/2019,155.53,156.52,155.22,156.46,18369400,0,0
2/1/2020,157.53,159.46,157.08,159.35,22622100,0,0
3/1/2020,157.07,158.69,156.81,157.37,21116200,0,0
6/1/2020,155.84,157.84,155.27,157.77,20813700,0,0
7/1/2020,158.06,158.41,156.08,156.34,21634100,0,0
8/1/2020,157.68,159.53,156.7,158.83,27746500,0,0
9/1/2020,160.56,160.94,159.76,160.81,21385000,0,0
10/1/2020,161.54,161.93,159.91,160.07,20725900,0,0
13/1/2020,160.48,162.02,159.99,161.99,21626500,0,0
14/1/2020,162.1,162.31,160.44,160.85,23477400,0,0
15/1/2020,161.34,162.65,161.29,161.89,21417900,0,0
16/1/2020,163.05,164.93,162.74,164.86,23865400,0,0
17/1/2020,166.1,166.15,164.12,165.78,34371700,0,0
21/1/2020,165.36,166.86,165.12,165.19,29517200,0,0
22/1/2020,166.08,166.17,164.37,164.39,24138800,0,0
23/1/2020,164.88,165.48,163.97,165.4,19680800,0,0
24/1/2020,166.19,166.21,163.15,163.74,24918100,0,0
27/1/2020,159.88,162.09,158.94,161,32078100,0,0
28/1/2020,162.49,164.45,161.78,164.15,24899900,0,0
29/1/2020,166.52,167.42,164.38,166.71,34754500,0,0
30/1/2020,172.68,172.68,169.44,171.42,51597500,0,0
31/1/2020,170.85,171.04,168.24,168.89,36142700,0,0
3/2/2020,169.08,173.12,169.06,173,30149100,0,0
4/2/2020,175.74,179.21,174.92,178.7,36433300,0,0
5/2/2020,182.58,182.75,177,178.48,39186300,0,0
6/2/2020,179.54,182.37,178.64,182.18,27751400,0,0
7/2/2020,181.41,184.17,181.04,182.44,33529100,0,0
10/2/2020,182.13,187.35,181.8,187.21,35844300,0,0
11/2/2020,189.15,189.19,182.05,182.98,53159900,0,0
12/2/2020,184.12,184.38,180.41,183.25,47062900,0,0
13/2/2020,181.64,184.76,181.43,182.26,35295800,0,0
14/2/2020,181.8,183.95,181.21,183.89,23149500,0,0
18/2/2020,184.15,186.22,184.04,185.75,27792200,0,0
19/2/2020,187.09,187.2,185.5,186.31,29997500,0.51,0
20/2/2020,185.98,186.28,180.16,183.46,36862400,0,0
21/2/2020,182.22,182.55,176.33,177.66,48572600,0,0
24/2/2020,166.9,173.65,162.38,170,68311100,0,0
25/2/2020,173.3,173.93,166.78,167.2,68073300,0,0
26/2/2020,168.83,172.36,167.34,169.29,56206100,0,0
27/2/2020,162.47,166.16,157.16,157.36,93174900,0,0
28/2/2020,151.62,162.86,151.21,161.17,97073600,0,0
2/3/2020,164.45,172.02,161.47,171.89,70894200,0,0
3/3/2020,172.9,174.09,161.42,163.66,71677000,0,0
4/3/2020,167.62,169.82,164.76,169.67,49814400,0,0
5/3/2020,165.19,169.98,164.83,165.41,47817300,0,0
6/3/2020,161.77,162.26,155.19,160.73,72821100,0,0
9/3/2020,150.22,156.93,149.22,149.84,70419300,0,0
10/3/2020,157.34,160.2,151.79,160.09,65354400,0,0
11/3/2020,156.32,156.88,150.37,152.83,56371600,0,0
12/3/2020,144.55,152.67,137.86,138.34,93226400,0,0
13/3/2020,146.74,161.07,140,158.01,92727400,0,0
16/3/2020,139.27,148.58,134.3,134.72,87905900,0,0
17/3/2020,139.27,146.74,134.3,145.81,81059800,0,0
18/3/2020,137.28,145.24,134.32,139.67,81593200,0,0
19/3/2020,142.03,149.37,138.28,141.97,85922700,0,0
20/3/2020,145.24,146.34,135.16,136.64,84866200,0,0
23/3/2020,136.3,139.84,131.83,135.28,78975200,0,0
24/3/2020,143.01,148.82,140.54,147.57,82516700,0,0
25/3/2020,148.14,153.53,143.69,146.16,75638200,0,0
26/3/2020,147.63,155.85,147.6,155.3,64568100,0,0
27/3/2020,150.96,154.09,148.43,148.92,57042300,0,0
30/3/2020,151.65,159.77,149.23,159.4,63420300,0,0
31/3/2020,158.57,163.93,155.75,156.89,77927200,0,0
1/4/2020,152.21,156.93,150.04,151.32,57969900,0,0
2/4/2020,151.07,154.67,149.58,154.46,49630700,0,0
3/4/2020,154.3,156.56,151.4,153.03,41243300,0,0
6/4/2020,159.49,165.64,156.76,164.41,67111700,0,0
7/4/2020,168.71,169.12,162.41,162.64,62769000,0,0
8/4/2020,164.81,165.81,162.65,164.27,48318200,0,0
9/4/2020,165.5,166.5,162.48,164.28,51431800,0,0
13/4/2020,163.5,164.71,161.46,164.65,41905300,0,0
14/4/2020,168.12,172.85,167.13,172.8,52874300,0,0
15/4/2020,170.31,172.67,168.36,170.99,40940800,0,0
16/4/2020,173.4,176.36,172,176.12,50479600,0,0
17/4/2020,178.57,179.07,174.96,177.67,52765600,0,0
20/4/2020,175.71,177.82,174.08,174.15,36669600,0,0
21/4/2020,172.6,172.77,165.25,166.95,56203700,0,0
22/4/2020,170.5,173.1,169.93,172.62,34651600,0,0
23/4/2020,173.21,174.15,170.02,170.53,32790800,0,0
24/4/2020,171.17,173.66,169.83,173.65,34305300,0,0
27/4/2020,175.67,175.98,172.4,173.15,33194400,0,0
28/4/2020,174.68,174.76,168.51,168.93,34392700,0,0
29/4/2020,172.32,176.76,170.99,176.51,51286600,0,0
30/4/2020,179.07,179.47,175.32,178.28,53661300,0,0
1/5/2020,174.89,177.71,173.11,173.67,39370500,0,0
4/5/2020,173.59,178.07,172.9,177.91,30372900,0,0
5/5/2020,179.68,182.7,178.97,179.82,36839200,0,0
6/5/2020,181.14,183.25,180.69,181.59,32139300,0,0
7/5/2020,183.22,183.59,181.63,182.65,28316000,0,0
8/5/2020,184.02,184.04,182.41,183.72,30912600,0,0
11/5/2020,182.2,186.54,181.9,185.77,30809400,0,0
12/5/2020,185.83,186.07,181.36,181.56,32038200,0,0
13/5/2020,181.6,183.1,175.63,178.82,44711500,0,0
14/5/2020,176.62,179.75,174.77,179.59,41873900,0,0
15/5/2020,178.13,186.09,176.08,182.21,46610400,0,0
18/5/2020,184.79,185.24,183.01,183.95,35306600,0,0
19/5/2020,184.07,185.63,182.54,182.68,26799100,0,0
20/5/2020,184.36,185.4,183.5,185.21,31261300,0.51,0
21/5/2020,184.95,186.22,182.85,182.99,29119500,0,0
22/5/2020,182.75,184.02,182.1,183.07,20826900,0,0
26/5/2020,185.89,186.05,180.66,181.13,36073600,0,0
27/5/2020,179.77,181.55,176.17,181.37,39517100,0,0
28/5/2020,180.3,183.71,179.95,180.96,33810200,0,0
29/5/2020,182.29,183.83,179.97,182.81,42146700,0,0
1/6/2020,182.1,182.56,181.02,182.39,22622400,0,0
2/6/2020,183.81,184.55,180.91,184.46,30794600,0,0
3/6/2020,184.37,185.49,183.14,184.91,27311000,0,0
4/6/2020,183.86,185.39,181.86,182.48,28761800,0,0
5/6/2020,182.18,187.28,181.57,186.75,39893600,0,0
8/6/2020,185.49,188.1,184,187.91,33211600,0,0
9/6/2020,187.55,190.24,186.81,189.34,29783900,0,0
10/6/2020,190.67,198.04,190.55,196.37,43872300,0,0
11/6/2020,192.66,195.29,185.62,185.82,52854700,0,0
12/6/2020,190.08,191.26,184.73,187.29,43345700,0,0
15/6/2020,184.13,190.36,183.57,188.48,32770200,0,0
16/6/2020,192.42,195.11,191,193.1,42556700,0,0
17/6/2020,194.56,195.85,193.22,193.77,25655900,0,0
18/6/2020,193.53,196.02,193.53,195.85,23061600,0,0
19/6/2020,198.11,198.81,193.9,194.68,44441100,0,0
22/6/2020,195.32,200.28,194.76,200.09,32818900,0,0
23/6/2020,201.6,203.46,200.94,201.42,30917400,0,0
24/6/2020,201.11,202.76,196.09,197.36,36740600,0,0
25/6/2020,197.32,200.13,195,199.86,27803900,0,0
26/6/2020,199.25,199.41,194.41,195.86,54675800,0,0
29/6/2020,195.31,198.05,193.08,197.96,26701600,0,0
30/6/2020,197.4,203.91,197.26,203.02,34310300,0,0
1/7/2020,202.65,205.85,201.28,204.21,32061200,0,0
2/7/2020,205.18,207.52,204.51,205.76,29315800,0,0
6/7/2020,208.33,210.62,207.59,210.19,31897600,0,0
7/7/2020,209.94,214.15,207.49,207.75,33600700,0,0
8/7/2020,209.56,212.75,208.19,212.32,33600000,0,0
9/7/2020,215.81,215.86,210.96,213.8,33121700,0,0
10/7/2020,213.1,213.56,210.57,213.15,26177600,0,0
13/7/2020,213.96,215.28,206,206.57,38135600,0,0
14/7/2020,205.63,208.35,201.54,207.85,37591800,0,0
15/7/2020,209.05,210.82,204.54,207.54,32179400,0,0
16/7/2020,204.9,205.2,201.82,203.43,29940700,0,0
17/7/2020,203.98,204.55,200.9,202.39,31635300,0,0
20/7/2020,204.51,211.79,202.52,211.09,36884800,0,0
21/7/2020,213.14,213.42,207.53,208.25,38105800,0,0
22/7/2020,208.7,211.79,207.89,211.24,49605700,0,0
23/7/2020,206.69,210.41,201.66,202.05,67457000,0,0
24/7/2020,199.94,202.37,197.03,200.81,39827000,0,0
27/7/2020,200.98,203.48,200.38,203.36,30160900,0,0
28/7/2020,203.12,204.21,201.25,201.53,23251400,0,0
29/7/2020,202.01,204.16,201.52,203.57,19632600,0,0
30/7/2020,200.52,203.97,199.09,203.41,25079600,0,0
31/7/2020,203.91,204.61,198.53,204.52,51248000,0,0
3/8/2020,211.01,217.12,209.93,216.02,78983000,0,0
4/8/2020,213.65,214.25,209.8,212.78,49280100,0,0
5/8/2020,214.38,214.48,211.06,212.43,28858600,0,0
6/8/2020,211.83,215.85,211.04,215.83,32656800,0,0
7/8/2020,214.33,215.18,210.42,211.97,27789600,0,0
10/8/2020,211.16,211.37,205.85,207.75,36716500,0,0
11/8/2020,206.66,207.15,202.65,202.89,36446500,0,0
12/8/2020,204.79,209.77,204.26,208.69,28041400,0,0
13/8/2020,208.93,210.84,207.65,208.2,22588900,0,0
14/8/2020,208.26,209.08,207.01,208.4,17958900,0,0
17/8/2020,209.09,210.68,208.42,209.77,20184800,0,0
18/8/2020,210.02,211.85,208.71,210.98,21336200,0,0
19/8/2020,211.49,212.1,209.25,209.7,27627600,0.51,0
20/8/2020,209.54,215,208.91,214.58,26981500,0,0
21/8/2020,213.86,216.25,212.85,213.02,36249300,0,0
24/8/2020,214.79,215.52,212.43,213.69,25460100,0,0
25/8/2020,213.1,216.61,213.1,216.47,23043700,0,0
26/8/2020,217.88,222.09,217.36,221.15,39600800,0,0
27/8/2020,222.89,231.15,219.4,226.58,57602200,0,0
28/8/2020,228.18,230.64,226.58,228.91,26292900,0,0
31/8/2020,227,228.7,224.31,225.53,28774200,0,0
1/9/2020,225.51,227.45,224.43,227.27,25791200,0,0
2/9/2020,227.97,232.86,227.35,231.65,34039100,0,0
3/9/2020,229.27,229.31,218.35,219.81,22781166,0,0
